"","WH.CL.BO","WH.CL.YO","WH.CY.BU","WH.CY.YO","WH.SC.HE","WH.SC.SH","WH.SL.AN","WH.SL.BE","WH.SL.SH"
"Cladophialophora",0,0,0,0,1,0,1,0,1
"Cladorrhinum",1,1,1,1,1,0,1,1,1
"Cladosporium",1,1,1,1,1,1,1,1,1
"Claroideoglomus",1,0,0,0,0,0,0,0,0
"Classiculales_gen_Incertae_sedis",1,1,1,1,0,0,0,1,1
"Clathrosphaerina",0,0,1,0,0,0,0,0,0
"Clavaria",0,0,1,0,0,0,0,1,0
"Clavulinopsis",0,0,0,0,0,1,0,0,0
"Clitocybe",0,0,0,0,1,1,0,0,1
"Clitopilus",1,0,0,1,0,1,0,0,1
"Clonostachys",1,1,1,1,1,1,1,1,1
"Coemansia",0,0,0,0,1,1,1,1,0
"Coleophoma",0,0,0,0,0,1,0,1,1
"Collariella",0,0,0,0,0,1,0,0,1
"Collarina",1,1,1,1,1,1,1,1,1
"Coniochaeta",1,0,1,1,1,1,1,1,1
"Coniophora",0,0,0,0,0,0,1,0,0
"Conlarium",0,0,0,0,1,0,0,0,0
"Conocybe",0,1,1,1,1,1,1,0,1
"Contumyces",0,0,1,0,0,0,1,0,0
"Coprinellus",1,1,0,1,0,1,1,0,1
"Coprinopsis",1,1,1,1,0,1,1,1,1
"Coprinus",0,0,0,1,0,1,0,0,1
"Cordyceps",0,0,0,1,0,1,0,0,0
"Cornuvesica",0,0,0,0,0,1,0,0,0
"Coronophorales_gen_Incertae_sedis",0,0,0,0,1,0,0,0,0
"Cortinarius",0,0,0,0,1,1,1,0,0
"Cosmospora",0,0,0,1,0,0,0,0,0
"Crepidotus",0,0,0,0,1,0,0,0,1
"Crocicreas",1,1,1,0,1,0,1,0,0
"Cryptococcus",1,0,0,0,0,0,0,1,0
"Cryptosporiopsis",0,1,0,1,0,0,0,0,0
"Cryptostroma",0,1,0,0,0,1,0,0,0
"Cucurbitariaceae_gen_Incertae_sedis",0,0,0,0,1,1,0,0,0
"Cudoniella",0,0,0,0,1,0,0,0,0
"Cunninghamella",0,1,0,0,0,0,0,0,1
"Cunninghamellaceae_gen_Incertae_sedis",0,0,0,0,1,0,0,1,0
"Cyanoboletus",0,0,1,0,0,0,0,0,0
"Cyathicula",1,1,0,0,1,0,1,0,1
"Cylindrobasidium",0,0,0,0,0,0,0,0,1
"Cyphellophora",0,0,1,0,0,0,0,0,0
"Cystobasidiopsis",1,0,0,0,0,0,0,0,0
"Cystoderma",0,0,0,0,0,0,1,0,0
"Cystofilobasidium",1,1,1,0,1,1,1,0,1
"Dactylaria",1,0,0,0,0,1,0,1,1
"Dactylella",0,0,0,0,0,0,0,0,1
"Dactylonectria",1,1,1,1,1,1,1,1,1
"Darksidea",0,0,0,0,1,1,0,1,0
"Debaryomyces",0,0,0,0,1,1,1,0,1
"Dendrophoma",0,0,0,0,1,0,0,0,0
"Dendryphion",1,0,1,1,0,1,1,1,1
"Dermateaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,1
"Diaporthe",0,0,1,0,0,0,1,1,0
"Dichotomopilus",1,0,0,0,1,0,0,1,1
"Dictyosporiaceae_gen_Incertae_sedis",1,0,0,0,0,1,0,0,0
"Dictyosporium",0,0,1,0,1,0,0,0,0
"Didymella",0,0,1,0,0,0,0,0,0
"Dinemasporium",0,0,0,0,1,0,0,0,0
"Dioszegia",0,0,0,0,0,0,1,0,0
"Dissophora",1,1,0,1,0,1,0,0,0
"Diversispora",1,0,1,0,1,0,1,0,1
"Dominikia",1,0,0,0,0,0,0,0,1
"Eleutherascus",0,0,1,0,0,0,0,0,0
"Emericellopsis",1,1,1,1,1,1,1,1,1
"Endogonales_gen_Incertae_sedis",0,0,0,0,0,0,0,1,0
"Endogonomycetes_gen_Incertae_sedis",1,1,0,1,1,1,0,0,0
"Endophoma",0,0,0,0,0,0,0,1,0
"Enterocarpus",1,1,1,1,1,1,1,0,1
"Entoloma",1,0,1,1,1,1,1,1,1
"Entomortierella",0,1,0,0,1,0,0,0,0
"Entorrhiza",0,0,1,0,0,0,0,0,0
"Eocronartium",1,1,1,1,1,1,1,1,1
"Equiseticola",1,1,1,1,1,1,1,1,1
"Erythrobasidiales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,1
"Eucasphaeria",1,1,1,1,1,0,1,1,1
"Exophiala",1,1,1,1,1,1,1,1,1
"Extremopsis",1,1,1,1,1,1,1,1,0
"Fibulochlamys",0,1,0,1,0,1,0,0,0
"Filobasidiella",0,0,1,0,1,1,1,0,0
"Filobasidium",0,0,0,0,0,0,0,0,1
"Filosporella",1,0,0,0,0,0,0,0,0
"Flagellospora",0,0,0,0,0,0,0,0,1
"Flavocillium",0,0,0,0,1,0,0,0,0
"Fomitopsidaceae_gen_Incertae_sedis",0,0,0,0,0,1,0,1,0
"Fungi_gen_Incertae_sedis",1,1,1,1,1,1,1,1,1
"Funiliomyces",0,0,0,0,1,0,0,0,0
"Funneliformis",1,0,1,1,1,1,1,0,1
"Fusariella",1,0,0,0,0,0,0,0,0
"Fusarium",1,0,1,1,1,1,1,1,1
"Fusicolla",1,1,1,1,1,1,1,1,1
"Fusidium",0,1,1,0,1,1,1,1,1
"Gaeumannomyces",1,0,1,0,1,1,1,1,0
"Galerina",0,0,0,0,1,0,0,0,0
"Ganoderma",1,1,1,1,1,1,1,1,0
"Geastrum",0,0,0,0,1,0,0,0,0
"Geminibasidium",0,0,0,0,0,1,0,0,0
"Genolevuria",0,0,0,0,0,0,1,0,0
"Geomyces",0,0,1,0,1,1,0,0,0
"Geotrichum",1,0,1,1,0,0,0,0,1
"Glaciozyma",1,0,0,0,0,0,0,0,0
"Gliomastix",1,1,0,1,1,1,1,1,1
"Gloeotinia",0,0,0,0,0,1,0,0,0
"Goffeauzyma",1,0,0,1,0,0,1,0,0
"Gongronella",0,0,0,0,1,1,1,1,1
"Granulobasidium",0,0,0,0,0,0,1,0,0
"Gryganskiella",0,0,0,0,1,0,0,0,0
"GS04_gen_Incertae_sedis",0,1,0,0,1,1,0,0,0
"GS05_gen_Incertae_sedis",1,1,0,1,1,1,1,1,1
"GS06_gen_Incertae_sedis",1,0,1,0,1,0,1,0,0
"GS07_gen_Incertae_sedis",1,1,0,1,1,1,1,1,0
"GS08_gen_Incertae_sedis",1,1,1,1,1,1,1,1,1
"GS10_gen_Incertae_sedis",0,0,0,0,0,0,0,0,1
"GS11_gen_Incertae_sedis",0,0,0,0,1,1,0,0,1
"GS16_gen_Incertae_sedis",1,1,0,1,1,1,1,1,1
"GS22_gen_Incertae_sedis",0,0,0,0,1,1,0,0,1
"GS36_gen_Incertae_sedis",0,0,0,0,1,0,0,0,0
"Gymnoascaceae_gen_Incertae_sedis",0,0,1,0,1,1,1,0,1
"Gymnopilus",1,0,1,1,1,1,1,0,0
"Gymnostellatospora",1,1,0,1,0,1,0,1,1
"Gyoerffyella",1,0,0,0,0,0,0,0,0
"Halokirschsteiniothelia",0,0,0,0,0,0,1,0,0
"Haptocillium",0,0,0,0,0,0,1,0,0
"Harzia",0,0,0,0,0,0,0,1,0
"Hebeloma",0,0,0,0,1,0,0,0,0
"Helgardiomyces",0,0,0,0,0,0,1,1,0
"Helotiales_gen_Incertae_sedis",0,0,0,0,0,0,1,0,0
"Herpotrichiellaceae_gen_Incertae_sedis",0,0,1,0,1,0,0,0,0
"Heterobasidion",0,0,0,0,0,0,1,0,0
"Heterocephalacria",1,0,0,0,0,0,0,0,0
"Hoehnelomycetaceae_gen_Incertae_sedis",1,1,1,1,0,1,1,1,1
"Hohenbuehelia",0,0,0,0,0,0,0,0,1
"Hormiactis",1,1,1,1,1,1,1,1,1
"Humicola",1,1,1,1,1,1,1,1,1
"Hyaloscyphaceae_gen_Incertae_sedis",1,1,1,1,1,1,1,1,1
"Hygrophoropsis",0,0,1,0,0,1,0,0,1
"Hymenochaetales_gen_Incertae_sedis",0,1,0,0,0,0,0,0,0
"Hymenoscyphus",1,0,0,1,1,0,0,0,0
"Hyphodontia",0,1,0,0,1,0,0,0,0
"Hypholoma",1,1,1,1,1,1,1,1,1
"Hypochnicium",0,0,0,0,0,0,1,0,0
"Hypoxylon",0,0,0,0,1,0,0,0,0
"Ijuhya",0,0,0,0,1,0,0,1,0
"Ilyonectria",1,1,1,1,1,1,1,1,1
"Irineochytrium",0,0,0,0,1,0,0,0,0
"Isthmolongispora",1,1,0,1,1,1,1,1,1
"Junewangiaceae_gen_Incertae_sedis",0,0,0,0,0,1,0,0,0
"Kazachstania",0,1,0,1,1,0,1,0,0
"Kernia",0,1,0,0,0,0,0,0,0
"Kickxellales_gen_Incertae_sedis",0,0,0,0,0,0,0,1,0
"Kickxellomycota_gen_Incertae_sedis",0,1,1,0,1,1,1,1,0
"Knufia",0,0,1,0,1,0,0,0,0
"Kondoa",1,0,0,0,0,1,0,0,0
"Kostermansinda",0,1,1,0,1,1,0,0,1
"Kuehneromyces",0,0,0,0,0,1,0,0,0
"Kurtzmanomyces",1,0,0,0,0,1,0,1,1
"Laboulbeniomycetes_gen_Incertae_sedis",1,1,0,1,1,1,1,1,1
"Laccaria",0,0,0,0,1,0,0,0,0
"Lachancea",0,0,0,0,0,0,0,0,1
"Lachnellula",1,0,1,0,0,0,1,0,0
"Lacrymaria",0,1,1,1,1,1,0,0,0
"Lasiobolidium",0,0,1,0,0,0,1,0,0
"Lasionectria",0,0,0,0,0,0,1,0,0
"Lasiosphaeria",0,0,0,0,1,0,0,0,0
"Lasiosphaeris",1,0,0,1,0,0,0,0,1
"Lecanicillium",0,0,0,0,1,0,0,0,0
"Lecythophora",1,0,1,1,1,1,0,1,1
"Lentinellus",1,0,0,0,0,0,1,1,0
"Leohumicola",0,0,1,0,0,1,0,0,0
"Lepista",0,1,0,1,1,1,0,0,0
"Leptobacillium",0,0,0,0,0,0,1,0,0
"Leptodophora",0,0,0,0,0,0,0,1,0
"Leptosphaeria",0,0,0,0,0,1,0,0,0
"Leuconeurospora",0,0,0,1,0,0,0,0,0
"Leucopenicillifer",0,1,0,0,0,1,1,0,1
"Leucosphaerina",0,0,0,0,0,1,0,0,0
"Leucosporidium",1,1,1,1,1,1,0,1,1
"Leucothecium",1,1,1,1,1,1,1,1,1
"Lichtheimia",0,1,0,1,0,1,1,0,0
"Limnoperdaceae_gen_Incertae_sedis",1,0,0,0,0,0,0,1,0
"Limnoperdon",1,0,1,0,1,1,1,0,1
"Lindtneria",0,0,1,0,1,1,1,0,1
"Linnemannia",1,1,1,1,1,1,1,1,1
"Lipomyces",1,1,1,1,0,1,0,1,1
"Lobulomyces",0,0,0,0,0,0,1,0,0
"Lobulomycetales_gen_Incertae_sedis",0,0,0,0,1,0,1,0,0
"Lobulomycetes_gen_Incertae_sedis",0,0,0,0,0,0,0,1,0
"Lycoperdon",1,1,0,1,1,1,1,0,1
"Lyomyces",0,0,0,0,0,1,1,0,0
"Lyophyllaceae_gen_Incertae_sedis",0,0,1,0,0,0,0,0,0
"Magnaporthaceae_gen_Incertae_sedis",1,1,0,0,0,0,1,1,0
"Magnaporthales_gen_Incertae_sedis",1,1,1,1,1,1,1,1,1
"Magnaporthiopsis",1,1,0,0,0,0,1,1,0
"Mariannaea",0,0,0,0,0,0,1,0,0
"Marquandomyces",1,1,1,1,1,1,1,1,1
"Melanogastraceae_gen_Incertae_sedis",0,0,0,0,0,1,0,0,0
"Melanoleuca",0,0,0,0,0,0,0,0,1
"Melanospora",0,1,1,0,1,1,1,0,1
"Melastiza",1,0,0,1,1,1,0,1,1
"Metacordyceps",0,0,1,0,1,1,0,1,1
"Metapochonia",1,1,1,1,1,1,1,1,1
"Metarhizium",0,0,0,1,0,1,0,1,1
"Microascales_gen_Incertae_sedis",0,1,0,1,0,0,0,0,0
"Microbotryales_gen_Incertae_sedis",1,0,1,0,0,0,1,0,0
"Microbotryomycetes_gen_Incertae_sedis",1,1,1,1,1,1,1,1,1
"Microbotryum",1,1,0,0,0,1,0,0,1
"Microdochiaceae_gen_Incertae_sedis",1,0,0,0,0,0,0,0,0
"Microdochium",1,1,1,1,1,1,1,1,1
"Microdominikia",0,0,0,0,0,0,0,0,1
"Microscypha",1,0,0,0,1,1,1,1,0
"Minimedusa",1,1,1,0,1,0,1,1,1
"Mirandina",0,0,0,0,0,0,0,1,0
"Monochaetia",0,0,0,1,0,0,0,0,0
"Mortierella",1,1,1,1,1,1,1,1,1
"Mortierellaceae_gen_Incertae_sedis",1,1,0,1,1,0,1,0,0
"Mortierellales_gen_Incertae_sedis",0,0,0,1,0,1,1,1,1
"Mrakia",1,1,0,1,0,1,1,0,0
"Mucor",1,1,1,1,1,1,1,1,1
"Mucoraceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,1
"Murispora",1,0,0,0,0,0,0,0,1
"Mycoarthris",0,1,0,1,0,0,0,0,1
"Mycothermus",0,0,0,1,0,0,0,0,0
"Myrmecridium",1,0,0,1,0,0,1,1,1
"Mytilinidiales_gen_Incertae_sedis",0,0,0,0,0,0,1,0,0
"Nadsonia",0,0,1,0,0,0,1,0,0
"Naganishia",1,0,1,0,0,0,0,1,0
"Neobulgaria",1,1,0,0,1,1,1,1,1
"Neohelicomyces",0,0,0,0,0,0,0,0,1
"Neonectria",1,1,1,1,0,1,1,1,1
"Neophaeosphaeria",0,0,0,0,1,0,0,0,0
"Neophaeosphaeriaceae_gen_Incertae_sedis",0,0,0,0,1,0,0,0,0
"Neosetophoma",1,1,1,1,0,1,0,0,0
"Niesslia",1,1,1,1,1,0,1,1,1
"Nothodactylaria",0,0,0,0,0,0,0,1,1
"Occultifur",1,1,1,1,1,1,1,1,1
"Oculimacula",0,1,0,0,0,0,0,0,0
"Ogataea",0,0,0,0,0,1,0,0,0
"Oidiodendron",1,1,1,1,1,1,1,0,0
"Oliveonia",1,0,0,0,0,0,0,1,1
"Olpidiaceae_gen_Incertae_sedis",1,1,1,1,1,1,1,1,1
"Olpidiomycota_gen_Incertae_sedis",1,0,0,0,0,1,0,1,0
"Olpidium",0,0,0,0,0,1,0,0,0
"Omphalotus",1,0,0,0,0,1,0,0,0
"Operculomyces",1,0,0,1,0,1,1,1,1
"Ophiocordycipitaceae_gen_Incertae_sedis",0,0,0,0,1,0,0,0,0
"Ophiosphaerella",0,0,0,0,0,0,0,0,1
"Orbilia",1,1,1,1,1,0,0,1,1
"Orbiliaceae_gen_Incertae_sedis",0,0,0,0,1,0,1,0,0
"Orbiliales_gen_Incertae_sedis",1,0,1,1,1,1,0,1,1
"Pachyella",0,0,0,1,0,1,0,0,1
"Palaeospora",0,0,0,0,0,0,0,0,1
"Panaeolina",0,0,1,0,0,1,0,0,1
"Panaeolus",1,0,0,0,0,0,0,0,0
"Papiliotrema",0,1,0,1,0,1,1,1,0
"Papulaspora",0,0,0,0,0,0,0,0,1
"Paracremonium",1,1,0,1,1,1,0,1,1
"Paraglomeraceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,1
"Paraglomus",1,1,1,1,1,1,1,1,1
"Paralepista",0,0,0,1,1,1,0,1,1
"Paraphaeosphaeria",1,1,1,0,1,1,1,1,1
"Paraphelidium",0,0,0,0,0,1,0,1,0
"Paraphoma",1,0,0,0,1,1,1,1,1
"Parasarocladium",1,1,1,1,1,1,0,1,1
"Parasitella",0,0,0,0,0,0,1,0,0
"Parasola",1,0,0,1,0,0,0,0,0
"Paratricharina",0,0,0,0,0,1,0,0,0
"Paurocotylis",0,0,1,0,0,0,0,0,0
"Paxillus",0,0,0,0,0,1,0,0,0
"Pectenia",1,0,1,0,1,0,1,1,0
"Penicillium",1,1,1,0,1,1,0,1,1
"Periconia",1,1,1,1,1,1,1,1,1
"Petriella",0,1,0,0,0,0,0,0,0
"Peziza",1,1,0,1,0,0,1,1,0
"Pezizaceae_gen_Incertae_sedis",1,0,1,0,1,1,0,0,1
"Pezizales_gen_Incertae_sedis",1,0,0,1,0,0,0,0,0
"Phaeosphaeria",0,0,0,0,0,1,0,1,0
"Phaeotremella",0,0,0,0,0,1,0,0,0
"Phallus",1,0,0,1,0,1,0,1,1
"Phialophora",0,1,0,1,0,1,0,1,0
"Phlegmacium",0,0,0,0,1,0,0,0,0
"Phlyctis",1,0,0,0,1,0,0,0,1
"Pholiota",0,1,0,1,1,1,0,0,1
"Phoma",0,0,0,0,1,0,0,0,0
"Piptocephalidaceae_gen_Incertae_sedis",1,0,1,0,1,0,0,0,1
"Pleosporaceae_gen_Incertae_sedis",0,0,1,0,1,0,1,1,0
"Pleotrichocladium",1,1,1,1,1,1,1,1,1
"Pleuroascaceae_gen_Incertae_sedis",0,0,0,0,0,1,1,0,0
"Pleurocatena",1,1,0,0,0,0,1,0,0
"Pochonia",0,0,1,0,0,1,1,0,1
"Podila",1,1,1,1,1,1,1,1,1
"Podospora",1,1,0,1,1,1,1,1,1
"Polylobatispora",0,0,1,0,1,0,0,1,1
"Polyphilus",1,1,1,0,1,0,1,0,1
"Polyporales_gen_Incertae_sedis",1,1,1,1,0,1,1,0,1
"Postia",0,0,0,0,0,1,1,0,0
"Powellomycetaceae_gen_Incertae_sedis",1,0,0,0,0,0,0,0,0
"Preussia",1,1,1,1,1,1,1,1,1
"Protomyces",0,0,0,0,0,0,0,1,1
"Psathyrella",1,1,1,1,1,1,1,0,1
"Pseudallescheria",0,1,0,0,0,0,1,0,0
"Pseudeurotium",1,1,1,1,1,1,1,1,1
"Pseudoarthrographis",0,1,0,0,0,0,0,0,0
"Pseudocosmospora",0,0,1,0,0,1,1,0,0
"Pseudoechria",1,1,1,1,1,1,1,1,1
"Pseudogymnoascus",1,1,1,1,1,1,1,1,1
"Pseudolachnella",1,0,0,0,1,0,0,0,0
"Pseudorhypophila",1,0,0,1,0,0,0,0,0
"Pseudosigmoidea",1,0,0,0,0,0,0,1,1
"Pulvinulaceae_gen_Incertae_sedis",0,0,0,1,0,0,0,0,0
"Pyrenochaeta",0,0,0,0,1,0,1,1,0
"Pyrenochaetopsis",1,1,0,1,1,1,1,1,1
"Pyronemataceae_gen_Incertae_sedis",0,0,1,1,1,1,1,0,0
"Pyxidiophora",0,1,1,1,1,0,0,0,1
"Pyxidiophoraceae_gen_Incertae_sedis",0,1,0,0,0,0,0,0,0
"Pyxidiophorales_gen_Incertae_sedis",1,0,0,1,1,1,1,1,0
"Ramicandelaber",1,1,1,0,1,1,1,1,1
"Ramophialophora",0,1,0,1,0,0,0,0,1
"Remersonia",0,1,0,0,0,0,0,0,0
"Rhexocercosporidium",1,0,0,0,0,0,0,0,0
"Rhinocladiella",0,0,0,0,1,0,0,1,0
"Rhizophagus",1,0,0,0,0,1,1,0,1
"Rhizophlyctis",0,0,1,0,1,0,0,0,0
"Rhizophydiales_gen_Incertae_sedis",0,1,0,0,0,1,0,0,0
"Rhizophydium",0,0,0,0,0,1,1,0,0
"Rhizopus",0,0,0,0,0,1,0,0,1
"Rhodocybe",0,0,0,0,0,1,0,0,0
"Rhodotorula",1,0,0,0,1,0,0,1,1
"Rhynchogastrema",0,0,1,0,1,0,0,0,0
"Rosellinia",0,0,1,0,1,0,1,0,0
"Roussoellaceae_gen_Incertae_sedis",0,0,0,0,0,1,0,0,0
"Rozellomycota_gen_Incertae_sedis",1,1,1,1,1,1,1,1,1
"Russula",0,0,0,0,1,0,0,0,0
"Saccharomyces",0,0,0,0,0,1,0,0,0
"Saccharomycetales_gen_Incertae_sedis",1,1,1,1,0,1,1,0,1
"Sagenomella",0,0,0,0,0,1,0,0,0
"Saitozyma",1,1,1,1,1,1,1,1,1
"Sareales_gen_Incertae_sedis",0,0,0,0,1,0,0,1,0
"Schizoporaceae_gen_Incertae_sedis",0,0,0,0,0,1,0,1,1
"Schizothecium",1,1,1,1,1,1,1,1,1
"Schwanniomyces",0,0,0,0,0,0,0,1,0
"Sclerococcales_gen_Incertae_sedis",0,0,0,0,0,0,0,1,0
"Sclerococcum",0,0,0,0,0,0,1,0,0
"Scleroderma",0,0,0,0,0,1,0,0,0
"Scleropezicula",1,0,0,0,0,0,1,0,0
"Sclerostagonospora",1,1,1,0,1,1,1,1,1
"Scolecobasidium",0,0,0,0,1,0,0,1,0
"Scutellinia",1,1,1,1,1,1,1,1,1
"Scytalidium",1,0,1,1,0,1,0,1,0
"Septoria",1,0,0,0,0,0,0,0,1
"Serendipita",1,1,1,0,1,1,1,0,1
"Serpula",0,0,0,0,1,0,0,0,0
"Simocybe",0,0,0,0,0,0,1,0,0
"Sistotrema",0,0,0,0,0,0,0,1,0
"Slooffia",0,1,0,0,1,1,1,1,0
"Slopeiomyces",0,0,0,0,0,0,0,0,1
"Solicoccozyma",1,1,1,1,1,1,1,1,1
"Sphaerobolus",0,0,0,0,1,0,0,0,0
"Sphaerodes",0,0,0,0,1,1,0,0,0
"Sphaerostilbella",0,0,0,0,0,0,1,0,1
"Spiculogloeales_gen_Incertae_sedis",0,0,0,0,0,1,0,0,0
"Spiromastix",0,0,0,0,1,0,0,0,0
"Spizellomycetales_gen_Incertae_sedis",0,0,0,1,1,0,0,0,0
"Sporidesmiella",1,1,1,1,1,1,1,1,1
"Sporidiobolales_gen_Incertae_sedis",1,1,1,0,1,1,1,0,1
"Sporobolomyces",1,1,1,1,1,1,1,0,1
"Sporormia",0,0,0,0,0,1,0,0,0
"Sporormiella",0,0,0,0,1,0,0,0,0
"Sporothrix",1,0,1,0,1,0,1,0,0
"Stachybotrys",1,0,1,1,1,0,1,1,1
"Stagonospora",1,0,0,0,0,0,1,0,0
